name,setting,seed,fold,fold_f1,fold_th
H12-5 full|future,"char(2,6)",2,0,0.5866666666666667,0.33499999999999985
H12-5 full|future,"char(2,6)",2,1,0.5747126436781609,0.24499999999999988
H12-5 full|future,"char(2,6)",2,2,0.6060606060606061,0.3499999999999998
H12-5 full|future,"char(2,6)",2,3,0.5714285714285714,0.31499999999999984
H12-5 full|future,"char(2,6)",2,4,0.6590909090909091,0.2499999999999999
H12-5 full|future,"char(2,6)",3,0,0.5686274509803921,0.24499999999999988
H12-5 full|future,"char(2,6)",3,1,0.5352112676056338,0.32499999999999984
H12-5 full|future,"char(2,6)",3,2,0.6024096385542169,0.2649999999999999
H12-5 full|future,"char(2,6)",3,3,0.684931506849315,0.3099999999999999
H12-5 full|future,"char(2,6)",3,4,0.5789473684210527,0.28499999999999986
H12-5 full|future,"char(2,6)",4,0,0.5365853658536586,0.2549999999999999
H12-5 full|future,"char(2,6)",4,1,0.6138613861386139,0.2099999999999999
H12-5 full|future,"char(2,6)",4,2,0.5510204081632653,0.23499999999999993
H12-5 full|future,"char(2,6)",4,3,0.6233766233766234,0.3549999999999998
H12-5 full|future,"char(2,6)",4,4,0.7368421052631579,0.31499999999999984
H12-6 full|current|future,"char(2,6)",0,0,0.6181818181818182,0.17999999999999994
H12-6 full|current|future,"char(2,6)",0,1,0.6582278481012658,0.32999999999999985
H12-6 full|current|future,"char(2,6)",0,2,0.56,0.2999999999999999
H12-6 full|current|future,"char(2,6)",0,3,0.55,0.2649999999999999
H12-6 full|current|future,"char(2,6)",0,4,0.6597938144329897,0.1999999999999999
H12-6 full|current|future,"char(2,6)",1,0,0.6301369863013698,0.33499999999999985
H12-6 full|current|future,"char(2,6)",1,1,0.6041666666666666,0.21999999999999992
H12-6 full|current|future,"char(2,6)",1,2,0.56,0.34499999999999986
H12-6 full|current|future,"char(2,6)",1,3,0.6511627906976745,0.22499999999999992
H12-6 full|current|future,"char(2,6)",1,4,0.6197183098591549,0.3549999999999998
H12-6 full|current|future,"char(2,6)",2,0,0.6027397260273972,0.34499999999999986
H12-6 full|current|future,"char(2,6)",2,1,0.6,0.22999999999999993
H12-6 full|current|future,"char(2,6)",2,2,0.6301369863013698,0.32499999999999984
H12-6 full|current|future,"char(2,6)",2,3,0.5897435897435898,0.32999999999999985
H12-6 full|current|future,"char(2,6)",2,4,0.6410256410256411,0.28499999999999986
H12-6 full|current|future,"char(2,6)",3,0,0.58,0.24499999999999988
H12-6 full|current|future,"char(2,6)",3,1,0.5365853658536586,0.27999999999999986
H12-6 full|current|future,"char(2,6)",3,2,0.6122448979591837,0.18499999999999994
H12-6 full|current|future,"char(2,6)",3,3,0.6987951807228916,0.27999999999999986
H12-6 full|current|future,"char(2,6)",3,4,0.5813953488372093,0.23499999999999993
H12-6 full|current|future,"char(2,6)",4,0,0.5494505494505495,0.2149999999999999
H12-6 full|current|future,"char(2,6)",4,1,0.6095238095238096,0.18499999999999994
H12-6 full|current|future,"char(2,6)",4,2,0.5567010309278351,0.22999999999999993
H12-6 full|current|future,"char(2,6)",4,3,0.5882352941176471,0.31999999999999984
H12-6 full|current|future,"char(2,6)",4,4,0.7532467532467533,0.31499999999999984
